,Region,Capacity,Present,Date,Occupancy Rate,Region Group
0,ABRUZZO,1.608,1.876,2018-01-31,0.16666666666666652,sud
1,BASILICATA,416.0,531.0,2018-01-31,0.2764423076923077,sud
2,CALABRIA,2.7,2.637,2018-01-31,-0.023333333333333428,sud
3,CAMPANIA,6.161,7.321,2018-01-31,0.1882811231942867,sud
4,EMILIA ROMAGNA,2.811,3.463,2018-01-31,0.23194592671647096,nord-est
5,FRIULI VENEZIA GIULIA,480.0,678.0,2018-01-31,0.4125000000000001,nord-est
6,LAZIO,5.258,6.326,2018-01-31,0.20311905667554186,centro
7,LIGURIA,1.118,1.403,2018-01-31,0.25491949910554546,centro
8,LOMBARDIA,6.226,8.527,2018-01-31,0.36957918406681656,centro
9,MARCHE,898.0,934.0,2018-01-31,0.04008908685968815,centro
10,MOLISE,264.0,417.0,2018-01-31,0.5795454545454546,sud
11,PIEMONTE,3.974,4.236,2018-01-31,0.06592853548062405,centro
12,PUGLIA,2.337,3.408,2018-01-31,0.4582798459563542,sud
13,SARDEGNA,2.713,2.336,2018-01-31,-0.13896056026538894,isole
14,SICILIA,6.443,6.396,2018-01-31,-0.007294738475865259,isole
15,TOSCANA,3.145,3.305,2018-01-31,0.050874403815580393,centro
16,TRENTINO ALTO ADIGE,506.0,418.0,2018-01-31,-0.17391304347826086,nord-est
17,UMBRIA,1.331,1.386,2018-01-31,0.04132231404958664,centro
18,VALLE D'AOSTA,181.0,188.0,2018-01-31,0.03867403314917128,centro
19,VENETO,1.947,2.301,2018-01-31,0.18181818181818188,nord-est
20,ABRUZZO,1.643,1.887,2018-02-28,0.14850882531953746,sud
21,BASILICATA,413.0,521.0,2018-02-28,0.2615012106537531,sud
22,CALABRIA,2.7,2.65,2018-02-28,-0.0185185185185186,sud
23,CAMPANIA,6.16,7.364,2018-02-28,0.19545454545454533,sud
24,EMILIA ROMAGNA,2.811,3.464,2018-02-28,0.2323016720028459,nord-est
25,FRIULI VENEZIA GIULIA,480.0,686.0,2018-02-28,0.4291666666666667,nord-est
26,LAZIO,5.257,6.265,2018-02-28,0.1917443408788282,centro
27,LIGURIA,1.137,1.445,2018-02-28,0.2708883025505717,centro
28,LOMBARDIA,6.226,8.54,2018-02-28,0.37166720205589443,centro
29,MARCHE,898.0,944.0,2018-02-28,0.05122494432071267,centro
30,MOLISE,264.0,420.0,2018-02-28,0.5909090909090908,sud
31,PIEMONTE,3.974,4.175,2018-02-28,0.05057876195269251,centro
32,PUGLIA,2.337,3.469,2018-02-28,0.48438168592212216,sud
33,SARDEGNA,2.713,2.33,2018-02-28,-0.1411721341688168,isole
34,SICILIA,6.466,6.398,2018-02-28,-0.010516548097742162,isole
