Regione,Capienza regolamentare,Detenuti presenti (totale),Data
ABRUZZO,1.608,1.876,2018-01-31
BASILICATA,416,531,2018-01-31
CALABRIA,2.700,2.637,2018-01-31
CAMPANIA,6.161,7.321,2018-01-31
EMILIA ROMAGNA,2.811,3.463,2018-01-31
FRIULI VENEZIA GIULIA,480,678,2018-01-31
LAZIO,5.258,6.326,2018-01-31
LIGURIA,1.118,1.403,2018-01-31
LOMBARDIA,6.226,8.527,2018-01-31
MARCHE,898,934,2018-01-31
MOLISE,264,417,2018-01-31
PIEMONTE,3.974,4.236,2018-01-31
PUGLIA,2.337,3.408,2018-01-31
SARDEGNA,2.713,2.336,2018-01-31
SICILIA,6.443,6.396,2018-01-31
TOSCANA,3.145,3.305,2018-01-31
TRENTINO ALTO ADIGE,506,418,2018-01-31
UMBRIA,1.331,1.386,2018-01-31
VALLE D'AOSTA,181,188,2018-01-31
VENETO,1.947,2.301,2018-01-31
ABRUZZO,1.643,1.887,2018-02-28
BASILICATA,413,521,2018-02-28
CALABRIA,2.700,2.650,2018-02-28
CAMPANIA,6.160,7.364,2018-02-28
EMILIA ROMAGNA,2.811,3.464,2018-02-28
FRIULI VENEZIA GIULIA,480,686,2018-02-28
LAZIO,5.257,6.265,2018-02-28
LIGURIA,1.137,1.445,2018-02-28
LOMBARDIA,6.226,8.540,2018-02-28
MARCHE,898,944,2018-02-28
MOLISE,264,420,2018-02-28
PIEMONTE,3.974,4.175,2018-02-28
PUGLIA,2.337,3.469,2018-02-28
SARDEGNA,2.713,2.330,2018-02-28
SICILIA,6.466,6.398,2018-02-28
TOSCANA,3.145,3.316,2018-02-28
TRENTINO ALTO ADIGE,506,408,2018-02-28
UMBRIA,1.331,1.384,2018-02-28
VALLE D'AOSTA,181,176,2018-02-28
VENETO,1.947,2.321,2018-02-28
ABRUZZO,1.643,1.903,2018-03-31
BASILICATA,413,506,2018-03-31
CALABRIA,2.734,2.659,2018-03-31
CAMPANIA,6.162,7.347,2018-03-31
EMILIA ROMAGNA,2.811,3.435,2018-03-31
FRIULI VENEZIA GIULIA,480,675,2018-03-31
LAZIO,5.257,6.303,2018-03-31
LIGURIA,1.129,1.433,2018-03-31
LOMBARDIA,6.226,8.574,2018-03-31
MARCHE,898,911,2018-03-31
MOLISE,263,421,2018-03-31
PIEMONTE,3.975,4.250,2018-03-31
PUGLIA,2.329,3.470,2018-03-31
SARDEGNA,2.713,2.337,2018-03-31
SICILIA,6.470,6.321,2018-03-31
TOSCANA,3.145,3.311,2018-03-31
TRENTINO ALTO ADIGE,506,410,2018-03-31
UMBRIA,1.331,1.414,2018-03-31
