Data,Capienza regolamentare,Detenuti presenti (totale)
2018-01-31,50517,58087
2018-02-28,50589,58163
2018-03-31,50613,58223
2018-04-30,50619,58285
2018-05-31,50615,58569
2018-06-30,50632,58759
2018-07-31,50624,58506
2018-08-31,50622,59135
2018-09-30,50622,59275
2018-10-31,50616,59803
2018-11-30,50583,60002
2018-12-31,50581,59655
2019-01-31,50550,60125
2019-02-28,50522,60348
2019-03-31,50514,60611
2019-04-30,50511,60439
2019-05-31,50528,60476
2019-06-30,50496,60522
2019-07-31,50480,60254
2019-08-31,50469,60741
2019-09-30,50472,60881
2019-10-31,50474,60985
2019-11-30,50476,61174
2019-12-31,50688,60769
2020-01-31,50692,60971
2020-02-29,50931,61230
2020-03-31,50754,57846
2020-04-30,50438,53904
2020-05-31,50472,53387
2020-06-30,50501,53579
2020-07-31,50558,53619
2020-08-31,50574,53921
2020-09-30,50570,54277
2020-10-31,50553,54868
2020-11-30,50568,54368
2020-12-31,50562,53364
2021-01-31,50551,53329
2021-02-28,50551,53697
2021-03-31,50779,53509
2021-04-30,50785,53608
2021-05-31,50780,53660
2021-06-30,50779,53637
2021-07-31,50877,53129
2021-08-31,50867,53557
2021-09-30,50857,53930
2021-10-31,50851,54307
2021-11-30,50809,54593
2021-12-31,50835,54134
2022-01-31,50862,54372
2022-02-28,50856,54645
2022-03-31,50853,54609
2022-04-30,50853,54595
2022-05-31,50859,54771
2022-06-30,50900,54841
2022-07-31,50909,54979
2022-08-31,50922,55637
2022-09-30,50942,55835
2022-10-31,51174,56225
2022-11-30,51333,56524
2022-12-31,51328,56196
2023-01-31,51403,56127
2023-02-28,51285,56319
2023-03-31,51261,56605
2023-04-30,51249,56674
2023-05-31,51153,57230
2023-06-30,51187,57525
2023-07-31,51285,57749
2023-08-31,51206,58428
2023-09-30,51285,58987
2023-10-31,51275,59715
2023-11-30,51272,60116
2023-12-31,51179,60166
