Region,Month-Year,Number of Deaths
Abruzzo,2018-03,2
Abruzzo,2018-04,1
Abruzzo,2018-05,1
Abruzzo,2019-08,1
Abruzzo,2020-07,1
Abruzzo,2020-10,1
Abruzzo,2020-12,1
Abruzzo,2021-03,1
Abruzzo,2021-04,1
Abruzzo,2021-11,1
Abruzzo,2022-02,1
Abruzzo,2022-04,1
Abruzzo,2022-12,2
Abruzzo,2023-01,1
Abruzzo,2023-02,1
Abruzzo,2023-03,2
Abruzzo,2023-05,1
Abruzzo,2023-06,1
Abruzzo,2023-07,1
Abruzzo,2023-09,1
Abruzzo,2023-11,1
Abruzzo,2024-01,1
Basilicata,2019-10,1
Basilicata,2020-12,1
Calabria,2018-03,1
Calabria,2018-08,1
Calabria,2019-01,1
Calabria,2019-03,1
Calabria,2019-06,1
Calabria,2019-07,1
Calabria,2020-07,1
Calabria,2020-09,1
Calabria,2021-02,1
Calabria,2021-04,2
Calabria,2021-05,1
Calabria,2021-08,1
Calabria,2021-09,1
Calabria,2022-01,1
Calabria,2022-03,1
Calabria,2022-09,1
Calabria,2022-11,1
Calabria,2023-08,1
Calabria,2023-11,1
Calabria,2024-01,2
Campania,2018-02,1
Campania,2018-03,1
Campania,2018-04,1
Campania,2018-05,4
Campania,2018-06,2
Campania,2018-07,4
Campania,2018-08,1
Campania,2018-09,1
Campania,2018-10,3
Campania,2018-11,3
Campania,2018-12,3
Campania,2019-01,2
Campania,2019-02,2
Campania,2019-04,1
Campania,2019-06,4
Campania,2019-07,3
Campania,2019-09,1
Campania,2019-12,1
Campania,2020-02,1
Campania,2020-03,1
Campania,2020-04,1
Campania,2020-05,2
Campania,2020-06,1
Campania,2020-07,3
Campania,2020-08,1
Campania,2020-10,1
Campania,2020-11,2
Campania,2020-12,2
Campania,2021-01,2
Campania,2021-02,1
Campania,2021-03,2
Campania,2021-04,2
Campania,2021-05,1
Campania,2021-06,1
Campania,2021-08,1
Campania,2021-09,2
Campania,2021-10,3
Campania,2021-11,1
Campania,2021-12,1
Campania,2022-01,1
Campania,2022-02,2
Campania,2022-05,2
Campania,2022-06,1
Campania,2022-08,3
Campania,2022-09,2
Campania,2022-11,1
Campania,2022-12,1
Campania,2023-04,1
Campania,2023-05,2
Campania,2023-07,3
Campania,2023-08,2
Campania,2023-10,2
Campania,2023-12,2
Campania,2024-01,6
Emilia Romagna,2018-01,1
Emilia Romagna,2018-03,1
Emilia Romagna,2018-11,2
Emilia Romagna,2019-04,1
Emilia Romagna,2019-05,2
Emilia Romagna,2019-06,1
Emilia Romagna,2019-07,1
Emilia Romagna,2019-09,1
Emilia Romagna,2019-11,1
Emilia Romagna,2020-02,1
Emilia Romagna,2020-03,8
Emilia Romagna,2020-04,1
Emilia Romagna,2020-09,3
Emilia Romagna,2020-10,1
Emilia Romagna,2020-11,1
Emilia Romagna,2021-01,1
Emilia Romagna,2021-02,1
Emilia Romagna,2021-03,1
Emilia Romagna,2021-04,1
Emilia Romagna,2021-05,1
Emilia Romagna,2021-07,1
Emilia Romagna,2021-09,1
Emilia Romagna,2021-11,2
Emilia Romagna,2022-01,2
