Istituto,Region
   Santa Maria C.V. (Ce),Campania
Agrigento,Sicilia
Alba (Cn),Piemonte
Albenga (Ge),Liguria
Alessandria,Piemonte
Alessandria  (da Modena),Piemonte
Alessandria C.R.,Piemonte
Alghero,Sardegna
Altamura (BA),Puglia
Ancona,Marche
Ancona Montacuto,Marche
Aosta,Valle D'Aosta
Arezzo,Toscana
Ariano Irpino (Av),Campania
Arienzo (Ce),Campania
Ascoli,Marche
Ascoli  (da Modena),Marche
Ascoli Piceno,Marche
Asti,Piemonte
Augusta (Sr),Sicilia
Augusta (Sr). Ospedale,Sicilia
Avellino,Campania
Aversa (Ce),Campania
Aversa Opg (Ce),Campania
Avezzano (AQ),Abruzzo
Barcellona P.G. (Me),Sicilia
Bari,Puglia
Bari Ipm,Puglia
Barletta (BA),Puglia
Belluno,Veneto
Belluno  ,Veneto
Benevento,Campania
Bergamo,Lombardia
Biella,Piemonte
Bollate (MI),Lombardia
Bologna,Emilia Romagna
Bologna (Cie),Emilia Romagna
Bologna (Questura),Emilia Romagna
Bolzano,Trentino Alto Adige
Bolzano  ,Trentino Alto Adige
Brescia,Lombardia
Brescia Verziano,Lombardia
Brindisi,Puglia
Brucoli (SR),Sicilia
Busto Arsizio,Lombardia
Busto Arsizio (Va),Lombardia
Cagliari,Sardegna
Caltagirone (Ct),Sicilia
Caltanissetta,Sicilia
Caltanissetta Cie,Sicilia
Caltanisssetta ,Sicilia
Camerino (MC),Marche
Campobasso,Molise
Carinola (Ce),Campania
Caserta,Campania
Cassino (Fr),Lazio
Castelfranco C.L. (Mo),Emilia Romagna
Castrovillari (Cs),Calabria
Catania,Sicilia
Catania ,Sicilia
Catania Bicocca,Sicilia
Catania Piazza Lanza,Sicilia
Catanzaro,Calabria
Catanzaro ,Calabria
Chiavari (Ge),Liguria
Chieti,Abruzzo
Civitavecchia (Rm),Lazio
Civitavecchia N.C. (Rm),Lazio
Como,Lombardia
Cosenza,Calabria
CPR Gradisca d'Isonzo,Trentino Alto Adige
Cremona,Lombardia
Crotone,Calabria
Crotone (Cie),Calabria
Cuneo,Piemonte
Empoli (FI),Toscana
Enna,Sicilia
Fermo,Marche
Fermo (Ap),Marche
Ferrara ,Emilia Romagna
Firenze,Toscana
Firenze (Questura),Toscana
Firenze Ipm,Toscana
