name,link,year,month
Detenuti presenti - aggiornamento al 31 gennaio 2018,https://www.giustizia.it/giustizia/it/mg_1_14_1.page?contentId=SST94315,2018,1
Detenuti presenti - aggiornamento al 28 febbraio 2018,https://www.giustizia.it/giustizia/it/mg_1_14_1.page?contentId=SST99008,2018,2
Detenuti presenti - aggiornamento al 31 marzo 2018,https://www.giustizia.it/giustizia/it/mg_1_14_1.page?contentId=SST107117,2018,3
Detenuti presenti - aggiornamento al 30 aprile 2018,https://www.giustizia.it/giustizia/it/mg_1_14_1.page?contentId=SST156266,2018,4
Detenuti presenti - aggiornamento al 31 maggio 2018,https://www.giustizia.it/giustizia/it/mg_1_14_1.page?contentId=SST119037,2018,5
Detenuti presenti - aggiornamento al 30 giugno 2018,https://www.giustizia.it/giustizia/it/mg_1_14_1.page?contentId=SST125872,2018,6
Detenuti presenti - aggiornamento al 31 luglio 2018,https://www.giustizia.it/giustizia/it/mg_1_14_1.page?contentId=SST131301,2018,7
Detenuti presenti - aggiornamento al 31 agosto 2018,https://www.giustizia.it/giustizia/it/mg_1_14_1.page?contentId=SST135462,2018,8
Detenuti presenti - aggiornamento al 30 settembre 2018,https://www.giustizia.it/giustizia/it/mg_1_14_1.page?contentId=SST141596,2018,9
Detenuti presenti - aggiornamento al 31 ottobre 2018,https://www.giustizia.it/giustizia/it/mg_1_14_1.page?contentId=SST155989,2018,10
Detenuti presenti - aggiornamento al 30 novembre 2018,https://www.giustizia.it/giustizia/it/mg_1_14_1.page?contentId=SST149070,2018,11
Detenuti presenti - aggiornamento al 31 Dicembre 2018,https://www.giustizia.it/giustizia/it/mg_1_14_1.page?contentId=SST163530,2018,12
Detenuti presenti - aggiornamento al 31 gennaio 2019,https://www.giustizia.it/giustizia/it/mg_1_14_1.page?contentId=SST168910,2019,1
Detenuti presenti - aggiornamento al 28 febbraio 2019,https://www.giustizia.it/giustizia/it/mg_1_14_1.page?contentId=SST173662,2019,2
Detenuti presenti - aggiornamento al 31 marzo 2019,https://www.giustizia.it/giustizia/it/mg_1_14_1.page?contentId=SST183060,2019,3
Detenuti presenti - aggiornamento al 30 aprile 2019,https://www.giustizia.it/giustizia/it/mg_1_14_1.page?contentId=SST188292,2019,4
Detenuti presenti - aggiornamento al 31 maggio 2019,https://www.giustizia.it/giustizia/it/mg_1_14_1.page?contentId=SST193636,2019,5
Detenuti presenti - aggiornamento al 30 giugno 2019,https://www.giustizia.it/giustizia/it/mg_1_14_1.page?contentId=SST206255,2019,6
Detenuti presenti - aggiornamento al 31 luglio 2019,https://www.giustizia.it/giustizia/it/mg_1_14_1.page?contentId=SST199192,2019,7
Detenuti presenti - aggiornamento al 31 agosto 2019,https://www.giustizia.it/giustizia/it/mg_1_14_1.page?contentId=SST212433,2019,8
Detenuti presenti - aggiornamento al 30 settembre 2019,https://www.giustizia.it/giustizia/it/mg_1_14_1.page?contentId=SST219327,2019,9
Detenuti presenti - aggiornamento al 31 ottobre 2019,https://www.giustizia.it/giustizia/it/mg_1_14_1.page?contentId=SST225648,2019,10
Detenuti presenti - aggiornamento al 30 novembre 2019,https://www.giustizia.it/giustizia/it/mg_1_14_1.page?contentId=SST231289,2019,11
Detenuti presenti - aggiornamento al 31 dicembre 2019,https://www.giustizia.it/giustizia/it/mg_1_14_1.page?contentId=SST238877,2019,12
Detenuti presenti - aggiornamento al 31 gennaio 2020,https://www.giustizia.it/giustizia/it/mg_1_14_1.page?contentId=SST245309,2020,1
Detenuti presenti - aggiornamento al 29 febbraio 2020,https://www.giustizia.it/giustizia/it/mg_1_14_1.page?contentId=SST250530,2020,2
Detenuti presenti - aggiornamento al 31 marzo 2020,https://www.giustizia.it/giustizia/it/mg_1_14_1.page?contentId=SST264737,2020,3
Detenuti presenti - aggiornamento al 30 aprile 2020,https://www.giustizia.it/giustizia/it/mg_1_14_1.page?contentId=SST271278,2020,4
Detenuti presenti - aggiornamento al 31 maggio 2020,https://www.giustizia.it/giustizia/it/mg_1_14_1.page?contentId=SST276680,2020,5
Detenuti presenti - aggiornamento al 30 giugno 2020,https://www.giustizia.it/giustizia/it/mg_1_14_1.page?contentId=SST281517,2020,6
Detenuti presenti - aggiornamento al 31 luglio 2020,https://www.giustizia.it/giustizia/it/mg_1_14_1.page?contentId=SST285889,2020,7
Detenuti presenti - aggiornamento al 31 agosto 2020,https://www.giustizia.it/giustizia/it/mg_1_14_1.page?contentId=SST289733,2020,8
Detenuti presenti - aggiornamento al 30 settembre 2020,https://www.giustizia.it/giustizia/it/mg_1_14_1.page?contentId=SST293959,2020,9
