,Region,Capacity,Present,Date
0,ABRUZZO,1.608,1.876,2018-01-31
1,BASILICATA,416,531,2018-01-31
2,CALABRIA,2.700,2.637,2018-01-31
3,CAMPANIA,6.161,7.321,2018-01-31
4,EMILIA ROMAGNA,2.811,3.463,2018-01-31
5,FRIULI VENEZIA GIULIA,480,678,2018-01-31
6,LAZIO,5.258,6.326,2018-01-31
7,LIGURIA,1.118,1.403,2018-01-31
8,LOMBARDIA,6.226,8.527,2018-01-31
9,MARCHE,898,934,2018-01-31
10,MOLISE,264,417,2018-01-31
11,PIEMONTE,3.974,4.236,2018-01-31
12,PUGLIA,2.337,3.408,2018-01-31
13,SARDEGNA,2.713,2.336,2018-01-31
14,SICILIA,6.443,6.396,2018-01-31
15,TOSCANA,3.145,3.305,2018-01-31
16,TRENTINO ALTO ADIGE,506,418,2018-01-31
17,UMBRIA,1.331,1.386,2018-01-31
18,VALLE D'AOSTA,181,188,2018-01-31
19,VENETO,1.947,2.301,2018-01-31
20,ABRUZZO,1.643,1.887,2018-02-28
21,BASILICATA,413,521,2018-02-28
22,CALABRIA,2.700,2.650,2018-02-28
23,CAMPANIA,6.160,7.364,2018-02-28
24,EMILIA ROMAGNA,2.811,3.464,2018-02-28
25,FRIULI VENEZIA GIULIA,480,686,2018-02-28
26,LAZIO,5.257,6.265,2018-02-28
27,LIGURIA,1.137,1.445,2018-02-28
28,LOMBARDIA,6.226,8.540,2018-02-28
29,MARCHE,898,944,2018-02-28
30,MOLISE,264,420,2018-02-28
31,PIEMONTE,3.974,4.175,2018-02-28
32,PUGLIA,2.337,3.469,2018-02-28
33,SARDEGNA,2.713,2.330,2018-02-28
34,SICILIA,6.466,6.398,2018-02-28
35,TOSCANA,3.145,3.316,2018-02-28
36,TRENTINO ALTO ADIGE,506,408,2018-02-28
37,UMBRIA,1.331,1.384,2018-02-28
38,VALLE D'AOSTA,181,176,2018-02-28
39,VENETO,1.947,2.321,2018-02-28
40,ABRUZZO,1.643,1.903,2018-03-31
41,BASILICATA,413,506,2018-03-31
42,CALABRIA,2.734,2.659,2018-03-31
43,CAMPANIA,6.162,7.347,2018-03-31
44,EMILIA ROMAGNA,2.811,3.435,2018-03-31
45,FRIULI VENEZIA GIULIA,480,675,2018-03-31
46,LAZIO,5.257,6.303,2018-03-31
47,LIGURIA,1.129,1.433,2018-03-31
48,LOMBARDIA,6.226,8.574,2018-03-31
49,MARCHE,898,911,2018-03-31
50,MOLISE,263,421,2018-03-31
51,PIEMONTE,3.975,4.250,2018-03-31
52,PUGLIA,2.329,3.470,2018-03-31
53,SARDEGNA,2.713,2.337,2018-03-31
54,SICILIA,6.470,6.321,2018-03-31
55,TOSCANA,3.145,3.311,2018-03-31
56,TRENTINO ALTO ADIGE,506,410,2018-03-31
57,UMBRIA,1.331,1.414,2018-03-31
58,VALLE D'AOSTA,181,201,2018-03-31
59,VENETO,1.947,2.342,2018-03-31
60,ABRUZZO,1.643,1.914,2018-04-30
61,BASILICATA,413,512,2018-04-30
62,CALABRIA,2.734,2.644,2018-04-30
63,CAMPANIA,6.162,7.412,2018-04-30
64,EMILIA ROMAGNA,2.811,3.480,2018-04-30
65,FRIULI VENEZIA GIULIA,480,642,2018-04-30
66,LAZIO,5.257,6.363,2018-04-30
67,LIGURIA,1.129,1.441,2018-04-30
68,LOMBARDIA,6.226,8.482,2018-04-30
69,MARCHE,898,899,2018-04-30
70,MOLISE,263,421,2018-04-30
71,PIEMONTE,3.975,4.283,2018-04-30
72,PUGLIA,2.329,3.480,2018-04-30
73,SARDEGNA,2.713,2.307,2018-04-30
74,SICILIA,6.476,6.312,2018-04-30
75,TOSCANA,3.145,3.359,2018-04-30
76,TRENTINO ALTO ADIGE,506,404,2018-04-30
77,UMBRIA,1.331,1.391,2018-04-30
78,VALLE D'AOSTA,181,202,2018-04-30
79,VENETO,1.947,2.337,2018-04-30
80,ABRUZZO,1.643,1.885,2018-05-31
81,BASILICATA,413,509,2018-05-31
82,CALABRIA,2.734,2.707,2018-05-31
83,CAMPANIA,6.161,7.495,2018-05-31
84,EMILIA ROMAGNA,2.808,3.530,2018-05-31
85,FRIULI VENEZIA GIULIA,480,650,2018-05-31
86,LAZIO,5.272,6.368,2018-05-31
87,LIGURIA,1.129,1.442,2018-05-31
88,LOMBARDIA,6.226,8.550,2018-05-31
89,MARCHE,898,902,2018-05-31
90,MOLISE,270,422,2018-05-31
91,PIEMONTE,3.972,4.323,2018-05-31
92,PUGLIA,2.322,3.529,2018-05-31
93,SARDEGNA,2.713,2.258,2018-05-31
94,SICILIA,6.464,6.310,2018-05-31
95,TOSCANA,3.145,3.345,2018-05-31
96,TRENTINO ALTO ADIGE,506,417,2018-05-31
97,UMBRIA,1.331,1.389,2018-05-31
98,VALLE D'AOSTA,181,215,2018-05-31
99,VENETO,1.947,2.323,2018-05-31
100,ABRUZZO,1.643,1.914,2018-06-30
101,BASILICATA,413,533,2018-06-30
102,CALABRIA,2.734,2.775,2018-06-30
103,CAMPANIA,6.161,7.459,2018-06-30
104,EMILIA ROMAGNA,2.808,3.560,2018-06-30
105,FRIULI VENEZIA GIULIA,480,628,2018-06-30
106,LAZIO,5.270,6.398,2018-06-30
107,LIGURIA,1.129,1.455,2018-06-30
108,LOMBARDIA,6.226,8.500,2018-06-30
109,MARCHE,898,898,2018-06-30
110,MOLISE,270,418,2018-06-30
111,PIEMONTE,3.978,4.356,2018-06-30
112,PUGLIA,2.322,3.578,2018-06-30
113,SARDEGNA,2.713,2.248,2018-06-30
114,SICILIA,6.476,6.376,2018-06-30
115,TOSCANA,3.146,3.333,2018-06-30
116,TRENTINO ALTO ADIGE,506,416,2018-06-30
117,UMBRIA,1.331,1.369,2018-06-30
118,VALLE D'AOSTA,181,226,2018-06-30
119,VENETO,1.947,2.319,2018-06-30
120,ABRUZZO,1.643,1.942,2018-07-31
121,BASILICATA,413,552,2018-07-31
122,CALABRIA,2.734,2.753,2018-07-31
