Year,Centro Storico
1871,"128,787"
1881,"129,851"
1901,"146,682"
1911,"154,891"
1921,"159,262"
1931,"163,559"
1936,"163,849"
1951,"174,808"
1952,"174,448"
1953,"172,195"
1954,"170,446"
1955,"167,069"
1956,"162,834"
1957,"158,466"
1958,"154,268"
1959,"150,242"
1960,"145,402"
1961,"137,150"
1962,"132,148"
1963,"129,468"
1964,"126,808"
1965,"123,733"
1966,"121,309"
1967,"118,889"
1968,"116,270"
1969,"113,587"
1970,"111,550"
1971,"108,426"
1972,"106,516"
1973,"106,806"
1974,"105,656"
1975,"104,206"
1976,"102,269"
1977,"100,608"
1978,"99,189"
1979,"97,280"
1980,"95,222"
1981,"93,598"
1982,"92,118"
1983,"90,414"
1984,"87,936"
1985,"86,072"
1986,"84,355"
1987,"82,703"
1988,"80,988"
1989,"79,487"
1990,"78,165"
1991,"76,644"
1992,"75,159"
1993,"73,149"
1994,"72,037"
1995,"71,053"
1996,"69,906"
1997,"68,600"
1998,"67,838"
1999,"66,945"
2000,"66,386"
2001,"65,695"
2002,"64,076"
2003,"63,947"
2004,"63,353"
2005,"62,296"
2006,"61,611"
2007,"60,755"
2008,"60,311"
2009,"59,942"
2010,"59,621"
2011,"58,991"
2012,"58,215"
2013,"56,683"
2014,"56,311"
2015,"55,589"
2016,"54,705"
2017,"53,799"
2018,"52,996"
2019,"52,143"
2020,"51,208"
2021,"50,434"
2022,"49,665"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
